Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;3;13,90
DI x pré;4;6;13,90
DI x pré;5;7;13,90
DI x pré;6;10;13,90
DI x pré;7;11;13,90
DI x pré;10;14;13,87
DI x pré;14;21;13,85
DI x pré;15;24;13,85
DI x pré;16;25;13,85
DI x pré;17;26;13,84
DI x pré;18;27;13,84
DI x pré;19;28;13,84
DI x pré;20;31;13,84
DI x pré;21;32;13,84
DI x pré;24;35;13,83
DI x pré;25;38;13,83
DI x pré;26;39;13,83
DI x pré;27;40;13,83
DI x pré;28;41;13,83
DI x pré;36;54;13,79
DI x pré;37;55;13,79
DI x pré;38;56;13,79
DI x pré;39;59;13,79
DI x pré;40;60;13,78
DI x pré;41;61;13,78
DI x pré;46;68;13,77
DI x pré;47;69;13,77
DI x pré;48;70;13,77
DI x pré;49;74;13,76
DI x pré;58;87;13,74
DI x pré;59;88;13,74
DI x pré;60;89;13,74
DI x pré;61;90;13,74
DI x pré;67;101;13,73
DI x pré;68;102;13,73
DI x pré;78;116;13,72
DI x pré;79;117;13,71
DI x pré;80;118;13,71
DI x pré;81;119;13,71
DI x pré;82;122;13,71
DI x pré;86;129;13,71
DI x pré;87;130;13,71
DI x pré;88;131;13,71
DI x pré;90;136;13,71
DI x pré;99;147;13,71
DI x pré;100;150;13,71
DI x pré;102;152;13,71
DI x pré;109;161;13,71
DI x pré;110;164;13,71
DI x pré;117;175;13,72
DI x pré;118;178;13,72
DI x pré;119;179;13,72
DI x pré;120;180;13,72
DI x pré;125;187;13,72
DI x pré;126;188;13,72
DI x pré;127;189;13,72
DI x pré;128;192;13,72
DI x pré;138;206;13,73
DI x pré;142;210;13,73
DI x pré;143;213;13,74
DI x pré;147;220;13,74
DI x pré;149;222;13,74
DI x pré;150;223;13,74
DI x pré;159;236;13,75
DI x pré;161;238;13,75
DI x pré;162;241;13,75
DI x pré;168;250;13,75
DI x pré;169;251;13,75
DI x pré;170;252;13,75
DI x pré;171;255;13,76
DI x pré;181;269;13,76
DI x pré;182;270;13,76
DI x pré;184;272;13,77
DI x pré;190;283;13,77
